Period start,Period end,Opens,Closes,Recurring days,Notes
2013-07-08,2013-08-16,08:00:00,18:00:00,5,
2013-07-08,2013-08-16,10:30:00,18:00:00,67,
2013-07-08,2013-08-16,08:00:00,21:00:00,1234,
2013-08-17,2013-09-01,08:30:00,17:00:00,12345,
2013-08-17,2013-09-01,,,6,
2013-08-17,2013-09-01,10:30:00,17:00:00,7,
2013-09-02,2013-09-29,08:00:00,21:00:00,1234,
2013-09-02,2013-09-29,08:00:00,06:00:00,5,
2013-09-02,2013-09-29,10:30:00,18:00:00,67,
2013-09-30,2013-11-01,08:00:00,23:00:00,1234,
2013-09-30,2013-11-01,10:00:00,19:00:00,67,
2013-10-04,,08:00:00,18:00:00,,
2013-10-11,,08:00:00,18:00:00,,
2013-11-01,,08:00:00,18:00:00,,
2013-10-18,,08:00:00,23:00:00,,
2013-10-25,,08:00:00,23:00:00,,
2013-10-28,,10:00:00,19:00:00,,Exception
2013-11-02,2013-11-03,,,,
2013-11-04,2013-11-29,09:00:00,17:00:00,12345,
2013-11-09,2013-11-30,,,6,
2013-12-01,,,,,
2013-11-10,2013-11-24,13:00:00,19:00:00,7,
2013-11-15,,,,5,Exception
2013-12-02,2013-12-17,09:00:00,17:00:00,12345,
2013-12-07,2013-12-08,13:00:00,19:00:00,67,
2013-12-14,2013-12-15,,,67,
2013-12-18,2014-01-05,,,1234567,
2014-01-06,2014-01-31,09:00:00,17:00:00,12345,
2014-01-11,2014-02-16,,,67,
2014-02-03,2014-02-21,09:00:00,17:00:00,12345,
2014-02-06,,,,,Exception
2014-02-18,,09:00:00,20:00:00,,Exception
2014-02-20,,09:00:00,20:00:00,,Exception
2014-02-22,2014-02-23,13:00:00,19:00:00,67,
2014-02-24,2014-02-28,08:00:00,18:00:00,12345,
2014-03-01,2014-03-02,,,67,
2014-03-03,,08:00:00,21:00:00,,
